  Sent.                        Matched  Bracket   Cross        Correct Tag
 ID  Len.  Stat. Recal  Prec.  Bracket gold test Bracket Words  Tags Accracy
 400    6    0   33.33  22.22     2      6    9      2      6     5    83.33
 401    9    0   40.00  57.14     4     10    7      0      9     9   100.00
 402    6    0   50.00  50.00     3      6    6      0      6     5    83.33
 403    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 404    4    0   66.67  50.00     4      6    8      0      4     4   100.00
 405    5    0   33.33  40.00     2      6    5      0      5     5   100.00
 406    5    0   33.33  28.57     2      6    7      0      5     5   100.00
 407    2    0   25.00  50.00     1      4    2      0      2     1    50.00
 408    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 409    4    0  100.00 100.00     5      5    5      0      4     4   100.00
 410    2    0   50.00  20.00     1      2    5      0      2     1    50.00
 411    2    0  100.00  50.00     2      2    4      0      2     1    50.00
 412    3    0  100.00 100.00     4      4    4      0      3     2    66.67
 413    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 414    4    0   50.00  75.00     3      6    4      0      4     4   100.00
 415    9    0   20.00  25.00     2     10    8      1      9     7    77.78
 416    3    0   16.67  25.00     1      6    4      0      3     2    66.67
 417    8    0   15.38  33.33     2     13    6      1      8     8   100.00
 418    9    0   18.18  16.67     2     11   12      0      9     8    88.89
 419    8    0   25.00  18.18     2      8   11      3      8     7    87.50
 420    6    0   50.00  42.86     3      6    7      0      6     6   100.00
 421    4    0   40.00  50.00     2      5    4      0      4     3    75.00
 422    5    0   66.67  80.00     4      6    5      0      5     5   100.00
 423    8    0   42.86  25.00     3      7   12      6      8     7    87.50
 424    8    0   33.33  15.38     2      6   13      5      8     7    87.50
 425    8    0   20.00  33.33     2     10    6      3      8     7    87.50
 426    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 427    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 428    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 429    9    0   80.00  44.44     4      5    9      0      9     9   100.00
 430    5    0   33.33  33.33     2      6    6      1      5     4    80.00
 431    5    0   28.57  40.00     2      7    5      1      5     4    80.00
 432    5    0   20.00  20.00     1      5    5      0      5     4    80.00
 433    9    0   27.27  23.08     3     11   13      5      9     8    88.89
 434    4    0   40.00  40.00     2      5    5      1      4     3    75.00
 435    6    0   33.33  28.57     2      6    7      0      6     6   100.00
 436    6    0   33.33  25.00     2      6    8      1      6     5    83.33
 437    6    0   25.00  25.00     2      8    8      3      6     5    83.33
 438    8    0   50.00  40.00     4      8   10      0      8     8   100.00
 439    2    0   25.00  50.00     1      4    2      0      2     1    50.00
 440    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 441    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 442    8    0   27.27  30.00     3     11   10      1      8     7    87.50
 443    7    0   50.00  42.86     3      6    7      2      7     6    85.71
 444    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 445    1    0   33.33  50.00     1      3    2      0      1     1   100.00
 446    1    0  100.00 100.00     2      2    2      0      1     1   100.00
 447    6    0   66.67  44.44     4      6    9      0      6     6   100.00
 448    7    0   37.50  30.00     3      8   10      4      7     6    85.71
 449    9    0   16.67  18.18     2     12   11      6      9     8    88.89
 450    2    0   50.00  50.00     1      2    2      0      2     2   100.00
 451    6    0   20.00  16.67     1      5    6      0      6     5    83.33
